readers,writers,bsize,size,throughput,latency,ratio
5,3,8192,8192,140155,16004,1
5,3,4096,8192,80767,24557,0.5
5,3,2048,8192,15794,15935,0.25
5,3,1024,8192,3184,4892,0.125
5,3,512,8192,2850,3830,0.0625
5,3,256,8192,1922,2815,0.03125
5,3,128,8192,2447,2625,0.015625
5,3,64,8192,2358,2472,0.0078125
5,3,32,8192,2810,2402,0.00390625
5,3,16,8192,2786,2700,0.001953125
5,3,8,8192,2573,2536,0.0009765625
5,3,4,8192,2254,2713,0.00048828125
5,3,2,8192,2465,2439,0.000244140625
5,3,1,8192,2593,2586,0.0001220703125
5,3,16384,16384,371418,45416,1
5,3,8192,16384,21099,10565,0.5
5,3,4096,16384,2367,8978,0.25
5,3,2048,16384,3465,4222,0.125
5,3,1024,16384,5776,2703,0.0625
5,3,512,16384,2438,2582,0.03125
5,3,256,16384,1703,2563,0.015625
5,3,128,16384,2268,2705,0.0078125
5,3,64,16384,2705,2363,0.00390625
5,3,32,16384,2673,2586,0.001953125
5,3,16,16384,2599,2266,0.0009765625
5,3,8,16384,2523,2570,0.00048828125
5,3,4,16384,2428,2247,0.000244140625
5,3,2,16384,2473,2415,0.0001220703125
5,3,32768,32768,154129,84057,1
5,3,16384,32768,37622,3564,0.5
5,3,8192,32768,7226,23600,0.25
5,3,4096,32768,2455,3121,0.125
5,3,2048,32768,2957,2649,0.0625
5,3,1024,32768,2700,2572,0.03125
5,3,512,32768,2178,2713,0.015625
5,3,256,32768,2467,2331,0.0078125
5,3,128,32768,2330,2393,0.00390625
5,3,64,32768,2597,2748,0.001953125
5,3,32,32768,2724,2436,0.0009765625
5,3,16,32768,2557,2228,0.00048828125
5,3,8,32768,2532,2555,0.000244140625
5,3,4,32768,2623,2350,0.0001220703125
5,3,65536,65536,3967,92191,1
5,3,32768,65536,30347,53913,0.5
5,3,16384,65536,2246,5292,0.25
5,3,8192,65536,1406,4677,0.125
5,3,4096,65536,2436,2877,0.0625
5,3,2048,65536,2676,2477,0.03125
5,3,1024,65536,2348,2600,0.015625
5,3,512,65536,2544,2341,0.0078125
5,3,256,65536,2584,2434,0.00390625
5,3,128,65536,2237,2822,0.001953125
5,3,64,65536,2494,2527,0.0009765625
5,3,32,65536,2479,2823,0.00048828125
5,3,16,65536,2413,2419,0.000244140625
5,3,8,65536,2657,2457,0.0001220703125
6,2,8192,8192,258147,32852,1
6,2,4096,8192,31682,5882,0.5
6,2,2048,8192,3090,44583,0.25
6,2,1024,8192,2589,6498,0.125
6,2,512,8192,2077,2774,0.0625
6,2,256,8192,2255,2631,0.03125
6,2,128,8192,2278,2630,0.015625
6,2,64,8192,2477,2561,0.0078125
6,2,32,8192,2419,2398,0.00390625
6,2,16,8192,2436,2665,0.001953125
6,2,8,8192,2140,2310,0.0009765625
6,2,4,8192,2319,2480,0.00048828125
6,2,2,8192,2612,2593,0.000244140625
6,2,1,8192,2763,2528,0.0001220703125
6,2,16384,16384,17607,8044,1
6,2,8192,16384,2950,22087,0.5
6,2,4096,16384,4677,3007,0.25
6,2,2048,16384,3819,2951,0.125
6,2,1024,16384,3528,3714,0.0625
6,2,512,16384,2323,2419,0.03125
6,2,256,16384,2377,2683,0.015625
6,2,128,16384,2774,3016,0.0078125
6,2,64,16384,2382,2556,0.00390625
6,2,32,16384,2240,2946,0.001953125
6,2,16,16384,2548,2533,0.0009765625
6,2,8,16384,2656,2485,0.00048828125
6,2,4,16384,2550,2293,0.000244140625
6,2,2,16384,2352,2568,0.0001220703125
